dataset,experiment_idx,method,cindex,IPEC (0.50),IPEC (0.60),IPEC (0.70),IPEC (0.75),IPEC (0.80),IPEC (0.90),IPEC (1.00)
gbsg2,5,cdfreg k-NN (truncated Gauss sigma=2) l1,0.6724151570287161,0.19545698974584258,0.21660531903914762,0.24625429858896414,0.25958885127380316,0.267940959503602,0.30417889804161596,0.4085555706439899
gbsg2,5,cdfreg k-NN (truncated Gauss sigma=2) l2,0.6421960287951902,0.19388912390033736,0.2132665776651499,0.2418980282794292,0.25484488473890476,0.26295848249260656,0.30676557541344585,0.413784002209215
gbsg2,5,cdfreg k-NN (truncated Gauss sigma=2) cosine,0.6111067162408037,0.1926314027910611,0.20833349695906966,0.2342984487786281,0.24661342755931517,0.25477119585336666,0.28701887795513165,0.4032039134368499
gbsg2,5,cdfreg k-NN (truncated Gauss sigma=3) l1,0.67281069535638,0.19546892050672063,0.21660701693787365,0.24624134868833553,0.25959197991093264,0.2679607312695753,0.2840442668637156,0.40839878273427443
gbsg2,5,cdfreg k-NN (truncated Gauss sigma=3) l2,0.6414840598053951,0.19391173410367615,0.2132794657190539,0.24189454112231334,0.25484637646924707,0.2629678924729257,0.29511901946465724,0.41392039061422925
gbsg2,5,cdfreg k-NN (truncated Gauss sigma=3) cosine,0.6079424096194921,0.19270773333562713,0.2084262061264766,0.23441715856030038,0.2467509431954055,0.25492135203475536,0.28718228285798303,0.4027346750448055
recid,5,cdfreg k-NN l1,0.62882096069869,0.2837292846633366,0.2849455977025147,0.28655149935471125,0.2877847053209474,0.2889627234214242,0.2936868165126873,0.3122486795851421
recid,5,cdfreg k-NN l2,0.6132985945469891,0.2769329683182644,0.2780825208742455,0.2795994819110165,0.28069071681572627,0.2815197818309026,0.2851377906433279,0.2993670072977186
recid,5,cdfreg k-NN cosine,0.6164452680635573,0.2822331711351749,0.2832247457056716,0.28466629565521717,0.285766556931944,0.28659529876418177,0.29037407574830887,0.30544090771072346
recid,5,cdfreg k-NN (triangle) l1,0.5898315658140986,0.2615620420123102,0.2631916974858196,0.26588726625506676,0.2677396990828225,0.2699987314125307,0.2780313625438972,0.30633893616820496
recid,5,cdfreg k-NN (triangle) l2,0.6043998385380353,0.26468706052276225,0.26649946216597126,0.269288962068418,0.27117290885950923,0.2733027273296331,0.2810214940757027,0.30808014719816146
recid,5,cdfreg k-NN (triangle) cosine,0.5917764485706947,0.266288059128916,0.26775336540854605,0.2701823317041158,0.27192312137336994,0.27390729569631145,0.2811772738101255,0.30724739890242914
recid,5,cdfreg k-NN (Epanechnikov) l1,0.5900792631463065,0.26166304897400217,0.2632890516481991,0.2659815488236466,0.2678327931213379,0.2700868928749165,0.27809844882874835,0.3063605938441435
recid,5,cdfreg k-NN (Epanechnikov) l2,0.6040879233789586,0.2647134622470464,0.26652078012043007,0.26930641199773364,0.2711877045851254,0.27331135189743166,0.2810090649562881,0.30802216587618586
recid,5,cdfreg k-NN (Epanechnikov) cosine,0.5919048842244321,0.26628752003177814,0.26775175672050094,0.2701815680024982,0.2719213753325961,0.2738988442648343,0.2811412577163503,0.30715092296787705
recid,5,cdfreg k-NN (truncated Gauss sigma=1) l1,0.5923360610619793,0.28366261709141355,0.2848714327557868,0.28646457761016864,0.2876918257781478,0.2888646054221801,0.2935870686114863,0.3121541762502158
recid,5,cdfreg k-NN (truncated Gauss sigma=1) l2,0.6147297346886352,0.27694767069520787,0.27809506240699944,0.2796067009659869,0.28069541953291105,0.2815234240242392,0.28514673492142134,0.299373562223967
recid,5,cdfreg k-NN (truncated Gauss sigma=1) cosine,0.5939782026347658,0.28226051953695025,0.28323938910429447,0.2846684064077282,0.2857634937682314,0.28659070988723323,0.2903744372783246,0.30544366554840485
recid,5,cdfreg k-NN (truncated Gauss sigma=2) l1,0.604730101647646,0.2837188253006061,0.28493312956510974,0.28653545189264246,0.2877669345336155,0.28894327921383245,0.293665910992807,0.3122262952717177
recid,5,cdfreg k-NN (truncated Gauss sigma=2) l2,0.5888958203368684,0.2769424494090981,0.27809135582477956,0.27960669282406087,0.28069710768292966,0.2815255997069872,0.2851440414719158,0.2993701186995241
recid,5,cdfreg k-NN (truncated Gauss sigma=2) cosine,0.6211515173755091,0.28225101953124754,0.28323941724124957,0.28467755559885993,0.2857762925203221,0.2866041926272279,0.29038282057043063,0.30544632469233285
recid,5,cdfreg k-NN (truncated Gauss sigma=3) l1,0.6044181864885693,0.2837251701117198,0.28494057948951623,0.2865448587188579,0.28777727977591505,0.2889545245730702,0.29367788108241005,0.312238856032909
recid,5,cdfreg k-NN (truncated Gauss sigma=3) l2,0.6136105097060658,0.27693766565602523,0.2780869226854045,0.27960313758328786,0.2806939921367886,0.2815227769070861,0.2851409033171623,0.29936851306915613
recid,5,cdfreg k-NN (truncated Gauss sigma=3) cosine,0.6213349968808484,0.2822420680530451,0.2832322327099873,0.2846722442273371,0.28577180955520404,0.2866001388738549,0.29037873193784064,0.3054437538209549
pbc,6,cdfreg k-NN l1,0.8205904617713853,0.0691872648567984,0.08780458952441436,0.10197890716672987,0.11404999346348288,0.13805042747842294,0.18880451682414578,0.3022910083389914
pbc,6,cdfreg k-NN l2,0.8274034822104467,0.06600882467116287,0.07733393276295755,0.08676521616993423,0.09528160598771657,0.13545301376359903,0.17293015575230958,0.2740479845888392
pbc,6,cdfreg k-NN cosine,0.7797123391370174,0.06755929206112558,0.0834612490258696,0.09382160625888232,0.10266961891692182,0.1227416934525024,0.16978405293848972,0.32566786369052625
pbc,6,cdfreg k-NN (triangle) l1,0.8077214231642695,0.07552679601518464,0.09651418383392699,0.11084653254519497,0.12258681938998497,0.1305269464426648,0.19427421241537107,0.30602351462150934
pbc,6,cdfreg k-NN (triangle) l2,0.7872823618470856,0.09109515733644903,0.10270232661548073,0.11165194928113051,0.12029154546992658,0.13993264003534048,0.18515999364432054,0.30961333093233134
pbc,6,cdfreg k-NN (triangle) cosine,0.79333838001514,0.058941825592903174,0.07327889556656,0.0826346793687424,0.08968788312059776,0.10732798403339504,0.14904321437069074,0.3355303121726862
pbc,6,cdfreg k-NN (Epanechnikov) l1,0.8077214231642695,0.075856857769429,0.08963910942765851,0.10015854083422283,0.10962165865775302,0.1303956144112787,0.17535443466012662,0.30545834787353493
pbc,6,cdfreg k-NN (Epanechnikov) l2,0.8395155185465556,0.09110736053506181,0.10265665164063195,0.11158753470751705,0.12021715302832031,0.13980393887332326,0.1848240456803339,0.3088350851414642
pbc,6,cdfreg k-NN (Epanechnikov) cosine,0.7630582891748675,0.05920444225022528,0.07362349414073473,0.08298766060809169,0.09000596196185043,0.10756725762041075,0.21385218867492015,0.33374042244922236
pbc,6,cdfreg k-NN (truncated Gauss sigma=1) l1,0.8046934140802422,0.06924112786405301,0.08797477056819819,0.10207873769938156,0.11405391409724056,0.13808722999900547,0.1762702154621785,0.30748300252731386
pbc,6,cdfreg k-NN (truncated Gauss sigma=1) l2,0.8145344436033308,0.06622050329614848,0.07756997340172607,0.08695679065492048,0.09540536416393841,0.11474749177693924,0.173696568482352,0.2755984867136324
pbc,6,cdfreg k-NN (truncated Gauss sigma=1) cosine,0.8046934140802422,0.06730076128448484,0.08311273448729443,0.09331258744647289,0.10199994481108329,0.12193557573256124,0.16879392318099176,0.3286072683467388
pbc,6,cdfreg k-NN (truncated Gauss sigma=2) l1,0.8183194549583649,0.06920076907100178,0.08784688975235923,0.10200241627710352,0.1139663035433858,0.1331136967619037,0.17610648731658815,0.30251724672453506
